x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
-2.10000000,0.18618829,0.18618206,0.18619873,0.18618295,0.18484288
-2.05000000,0.19297237,0.19296944,0.19297729,0.19296986,0.19221528
-2.00000000,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000
-1.95000000,0.20728876,0.20729124,0.20728460,0.20729089,0.20822488
-1.90000000,0.21490653,0.21491105,0.21489896,0.21491041,0.21691974
-1.85000000,0.22293377,0.22293991,0.22292347,0.22293903,0.22611645
-1.80000000,0.23145091,0.23145829,0.23143854,0.23145724,0.23584906
-1.75000000,0.24053842,0.24054669,0.24052456,0.24054551,0.24615385
-1.70000000,0.25027674,0.25028557,0.25026193,0.25028431,0.25706941
-1.65000000,0.26074631,0.26075542,0.26073105,0.26075412,0.26863667
-1.60000000,0.27202760,0.27203672,0.27201232,0.27203542,0.28089888
-1.55000000,0.28420104,0.28420994,0.28418613,0.28420867,0.29390154
-1.50000000,0.29734710,0.29735558,0.29733288,0.29735437,0.30769231
-1.45000000,0.31154621,0.31155410,0.31153298,0.31155297,0.32232071
-1.40000000,0.32687883,0.32688599,0.32686682,0.32688497,0.33783784
-1.35000000,0.34342540,0.34343173,0.34341480,0.34343083,0.35429584
-1.30000000,0.36126639,0.36127180,0.36125731,0.36127103,0.37174721
-1.25000000,0.38048223,0.38048668,0.38047476,0.38048604,0.39024390
-1.20000000,0.40115337,0.40115684,0.40114755,0.40115635,0.40983607
-1.15000000,0.42336027,0.42336278,0.42335607,0.42336242,0.43057051
-1.10000000,0.44718338,0.44718496,0.44718072,0.44718474,0.45248869
