x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
0.78000000,0.06169024,0.06169011,0.06169011,0.06169011,0.06169031
0.78250000,0.06132083,0.06132070,0.06132070,0.06132070,0.06132089
0.78500000,0.06095467,0.06095454,0.06095454,0.06095454,0.06095470
0.78750000,0.06059170,0.06059158,0.06059159,0.06059158,0.06059172
0.79000000,0.06023190,0.06023179,0.06023179,0.06023179,0.06023189
0.79250000,0.05987522,0.05987513,0.05987513,0.05987513,0.05987520
0.79500000,0.05952162,0.05952156,0.05952156,0.05952156,0.05952160
0.79750000,0.05917107,0.05917104,0.05917104,0.05917104,0.05917105
0.80000000,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353
0.80250000,0.05847896,0.05847900,0.05847900,0.05847900,0.05847900
0.80500000,0.05813732,0.05813741,0.05813741,0.05813741,0.05813742
0.80750000,0.05779860,0.05779874,0.05779873,0.05779874,0.05779877
0.81000000,0.05746276,0.05746295,0.05746295,0.05746295,0.05746301
0.81250000,0.05712978,0.05713002,0.05713002,0.05713003,0.05713010
0.81500000,0.05679963,0.05679992,0.05679991,0.05679993,0.05680003
0.81750000,0.05647227,0.05647262,0.05647261,0.05647262,0.05647275
0.82000000,0.05614770,0.05614809,0.05614807,0.05614809,0.05614823
0.82250000,0.05582586,0.05582629,0.05582628,0.05582630,0.05582645
0.82500000,0.05550675,0.05550721,0.05550720,0.05550721,0.05550737
0.82750000,0.05519033,0.05519081,0.05519079,0.05519081,0.05519097
0.83000000,0.05487657,0.05487706,0.05487704,0.05487706,0.05487721
0.83250000,0.05456544,0.05456593,0.05456592,0.05456594,0.05456607
0.83500000,0.05425692,0.05425740,0.05425738,0.05425740,0.05425752
0.83750000,0.05395098,0.05395143,0.05395141,0.05395143,0.05395153
0.84000000,0.05364760,0.05364799,0.05364798,0.05364800,0.05364807
0.84250000,0.05334673,0.05334707,0.05334705,0.05334707,0.05334711
0.84500000,0.05304837,0.05304861,0.05304860,0.05304861,0.05304864
0.84750000,0.05275247,0.05275261,0.05275260,0.05275261,0.05275261
0.85000000,0.05245902,0.05245902,0.05245902,0.05245902,0.05245902
0.85250000,0.05216797,0.05216782,0.05216782,0.05216782,0.05216782
0.85500000,0.05187932,0.05187898,0.05187899,0.05187898,0.05187899
0.85750000,0.05159302,0.05159249,0.05159251,0.05159249,0.05159252
0.86000000,0.05130904,0.05130832,0.05130835,0.05130832,0.05130836
0.86250000,0.05102737,0.05102645,0.05102648,0.05102645,0.05102651
0.86500000,0.05074797,0.05074685,0.05074689,0.05074685,0.05074693
0.86750000,0.05047081,0.05046951,0.05046956,0.05046951,0.05046960
0.87000000,0.05019586,0.05019440,0.05019445,0.05019439,0.05019450
0.87250000,0.04992310,0.04992149,0.04992155,0.04992149,0.04992161
0.87500000,0.04965250,0.04965077,0.04965084,0.04965077,0.04965089
0.87750000,0.04938402,0.04938222,0.04938228,0.04938221,0.04938234
0.88000000,0.04911765,0.04911580,0.04911587,0.04911580,0.04911591
0.88250000,0.04885334,0.04885150,0.04885157,0.04885150,0.04885161
0.88500000,0.04859108,0.04858930,0.04858936,0.04858929,0.04858939
0.88750000,0.04833084,0.04832917,0.04832923,0.04832917,0.04832924
0.89000000,0.04807258,0.04807109,0.04807114,0.04807109,0.04807115
0.89250000,0.04781627,0.04781504,0.04781508,0.04781503,0.04781508
0.89500000,0.04756190,0.04756099,0.04756102,0.04756099,0.04756101
0.89750000,0.04730943,0.04730893,0.04730895,0.04730893,0.04730893
0.90000000,0.04705882,0.04705882,0.04705882,0.04705882,0.04705882
0.90250000,0.04681007,0.04681066,0.04681064,0.04681066,0.04681066
0.90500000,0.04656317,0.04656441,0.04656437,0.04656442,0.04656442
0.90750000,0.04631811,0.04632007,0.04632000,0.04632008,0.04632009
0.91000000,0.04607492,0.04607761,0.04607751,0.04607762,0.04607764
0.91250000,0.04583359,0.04583702,0.04583690,0.04583703,0.04583706
0.91500000,0.04559412,0.04559828,0.04559813,0.04559829,0.04559834
